Jaar(m),Politie geregistreerd,Werkelijk aantal,Voorlopig,Definitief
,A,B,C,D
,REG,FIN,PREDC,FINDC
1987(1),112,,,
1987(2),97,,,
1987(3),94,,,
1987(4),108,,,
1987(5),113,,,
1987(6),154,,,
1987(7),133,,,
1987(8),126,,,
1987(9),121,,,
1987(10),163,,,
1987(11),140,,,
1987(12),124,,,
1988(1),132,,,
1988(2),116,,,
1988(3),108,,,
1988(4),104,,,
1988(5),110,,,
1988(6),98,,,
1988(7),103,,,
1988(8),104,,,
1988(9),119,,,
1988(10),135,,,
1988(11),105,,,
1988(12),132,,,
1989(1),145,,,
1989(2),90,,,
1989(3),88,,,
1989(4),112,,,
1989(5),124,,,
1989(6),127,,,
1989(7),144,,,
1989(8),127,,,
1989(9),137,,,
1989(10),139,,,
1989(11),112,,,
1989(12),111,,,
1990(1),143,,,
1990(2),109,,,
1990(3),122,,,
1990(4),99,,,
1990(5),119,,,
1990(6),108,,,
1990(7),116,,,
1990(8),112,,,
1990(9),93,,,
1990(10),123,,,
1990(11),141,,,
1990(12),91,,,
1991(1),118,,,
1991(2),64,,,
1991(3),105,,,
1991(4),102,,,
1991(5),110,,,
1991(6),116,,,
1991(7),135,,,
1991(8),120,,,
1991(9),126,,,
1991(10),101,,,
1991(11),99,,,
1991(12),85,,,
1992(1),97,,,
1992(2),89,,,
1992(3),87,,,
1992(4),103,,,
1992(5),107,,,
1992(6),112,,,
1992(7),111,,,
1992(8),100,,,
1992(9),140,,,
1992(10),98,,,
1992(11),107,,,
1992(12),102,,,
1993(1),103,,,
1993(2),80,,,
1993(3),83,,,
1993(4),125,,,
1993(5),104,,,
1993(6),132,,,
1993(7),110,,,
1993(8),93,,,
1993(9),104,,,
1993(10),110,,,
1993(11),88,,,
1993(12),103,,,
1994(1),101,,,
1994(2),81,,,
1994(3),95,,,
1994(4),138,,,
1994(5),112,,,
1994(6),122,,,
1994(7),111,,,
1994(8),110,,,
1994(9),100,,,
1994(10),121,,,
1994(11),101,,,
1994(12),106,,,
1995(1),110,,,112
1995(2),102,,,92
1995(3),108,,,105
1995(4),100,,,91
1995(5),110,,,101
1995(6),122,,,112
1995(7),128,,,120
1995(8),113,,,102
1995(9),91,,,84
1995(10),118,,,100
1995(11),113,,,106
1995(12),119,,,116
1996(1),85,84,,82
1996(2),82,89,,85
1996(3),75,83,,76
1996(4),120,125,,114
1996(5),105,104,,103
1996(6),100,114,,108
1996(7),109,114,,111
1996(8),91,93,,96
1996(9),108,110,,108
1996(10),111,119,,115
1996(11),111,122,,112
1996(12),83,94,,88
1997(1),94,102,,92
1997(2),67,75,,77
1997(3),77,82,,78
1997(4),98,101,,94
1997(5),97,102,,100
1997(6),103,111,,100
1997(7),113,112,,112
1997(8),134,137,,129
1997(9),91,96,,85
1997(10),100,112,,100
1997(11),96,102,,92
1997(12),93,103,,92
1998(1),85,101,,84
1998(2),77,82,,74
1998(3),101,107,,93
1998(4),93,97,,91
1998(5),110,120,,118
1998(6),84,88,,77
1998(7),83,85,,82
1998(8),75,85,,75
1998(9),82,92,,90
1998(10),90,92,,72
1998(11),87,96,,90
1998(12),99,104,,98
1999(1),72,83,,77
1999(2),91,96,,89
1999(3),82,91,,81
1999(4),73,76,,78
1999(5),82,91,,79
1999(6),91,100,,98
1999(7),99,104,,98
1999(8),100,112,,103
1999(9),93,99,,87
1999(10),106,117,,110
1999(11),100,107,,102
1999(12),101,110,,103
2000(1),91,98,,93
2000(2),64,68,,64
2000(3),75,83,,71
2000(4),97,99,,96
2000(5),101,106,,100
2000(6),106,117,,105
2000(7),89,93,,84
2000(8),86,93,,86
2000(9),107,124,,114
2000(10),96,102,,95
2000(11),85,92,,87
2000(12),85,91,,90
2001(1),87,90,,86
2001(2),55,59,,54
2001(3),74,73,,66
2001(4),65,77,,71
2001(5),94,103,,95
2001(6),97,104,,101
2001(7),85,97,,74
2001(8),93,101,,90
2001(9),89,101,,99
2001(10),91,97,,93
2001(11),92,98,,89
2001(12),71,83,,78
2002(1),67,78,,73
2002(2),79,82,,79
2002(3),84,88,,82
2002(4),91,96,,91
2002(5),75,82,,72
2002(6),90,93,,89
2002(7),90,99,,93
2002(8),88,92,,83
2002(9),87,97,,90
2002(10),82,91,,85
2002(11),84,93,,90
2002(12),70,75,,74
2003(1),95,101,,97
2003(2),66,69,,69
2003(3),93,97,,90
2003(4),80,80,,75
2003(5),76,82,,77
2003(6),105,115,,109
2003(7),97,104,,92
2003(8),100,107,,101
2003(9),82,90,,87
2003(10),78,82,,78
2003(11),87,90,,88
2003(12),69,71,,70
2004(1),56,62,,52
2004(2),63,68,,67
2004(3),44,46,,46
2004(4),67,74,,72
2004(5),86,94,,88
2004(6),60,61,,59
2004(7),70,81,,73
2004(8),54,62,,58
2004(9),67,77,,72
2004(10),87,93,,90
2004(11),81,85,,79
2004(12),69,78,,80
2005(1),62,65,57,57
2005(2),61,64,64,63
2005(3),53,57,56,52
2005(4),54,62,58,59
2005(5),69,72,61,60
2005(6),61,67,72,68
2005(7),67,77,69,68
2005(8),56,65,60,57
